RK,TEAM,REC,YDS,AVG,LONG,TD,YDSG,FUM,FUML,
1,Tampa Bay,321,4307,13.4,75,29,358.9,6,4,
2,Pittsburgh,344,3966,11.5,97,27,330.5,5,4,
3,Kansas City,287,3923,13.7,75,41,326.9,3,2,
4,Atlanta,331,3834,11.6,75,25,319.5,6,4,
5,LA Rams,276,3766,13.6,70,27,313.8,3,1,
6,Green Bay,290,3559,12.3,75,21,296.6,2,1,
7,Minnesota,350,3490,10.0,75,23,290.8,1,1,
8,LA Chargers,266,3426,12.9,75,28,285.5,4,2,
9,New England,289,3392,11.7,55,20,282.7,1,1,
10,NY Giants,298,3369,11.3,58,17,280.8,3,1,
11,Indianapolis,334,3362,10.1,68,32,280.2,3,3,
12,New Orleans,293,3326,11.4,72,30,277.2,6,4,
13,Philadelphia,312,3312,10.6,58,19,276.0,4,1,
14,Oakland,293,3120,10.6,66,16,260.0,2,1,
15,San Francisco,246,3117,12.7,82,20,259.8,1,1,
16,Cleveland,266,3112,11.7,71,20,259.3,4,1,
17,Detroit,294,3100,10.5,67,18,258.3,2,0,
18,Baltimore,281,3047,10.8,74,14,253.9,1,1,
19,Cincinnati,274,3041,11.1,49,23,253.4,2,1,
20,Houston,242,3031,12.5,73,21,252.6,4,3,
21,Carolina,279,3012,10.8,82,24,251.0,5,1,
22,Chicago,265,2993,11.3,70,24,249.4,3,3,
23,Denver,258,2993,11.6,64,15,249.4,2,1,
24,Jacksonville,263,2882,11.0,80,14,240.2,7,6,
25,Seattle,217,2716,12.5,66,29,226.3,4,0,
26,Dallas,243,2675,11.0,90,14,222.9,2,1,
27,Washington,252,2652,10.5,53,13,221.0,3,2,
28,Miami,233,2640,11.3,75,21,220.0,1,1,
29,Tennessee,227,2623,11.6,66,14,218.6,4,2,
30,NY Jets,219,2473,11.3,76,12,206.1,5,3,
31,Buffalo,203,2231,11.0,75,8,185.9,3,2,
32,Arizona,198,2070,10.5,75,12,172.5,1,1,
