RK,TEAM,ATT,YDS,YDSA,LONG,TD,YDSG,FUM,FUML,
1,Seattle,380,1786,4.7,38,9,148.8,6,2,
2,Carolina,306,1690,5.5,59,13,140.8,5,1,
3,Houston,378,1689,4.5,97,6,140.8,3,1,
4,LA Rams,345,1673,4.8,56,17,139.4,1,0,
5,Denver,297,1590,5.4,65,16,132.5,1,1,
6,Dallas,335,1579,4.7,41,11,131.6,8,2,
7,San Francisco,330,1550,4.7,66,6,129.2,10,4,
 ,Baltimore,376,1550,4.1,39,15,129.2,11,3,
9,New Orleans,363,1529,4.2,49,19,127.4,5,3,
10,LA Chargers,304,1502,4.9,34,11,125.2,2,0,
11,New England,352,1460,4.1,34,15,121.7,2,1,
12,Buffalo,349,1453,4.2,45,9,121.1,6,1,
13,Kansas City,297,1448,4.9,45,11,120.7,3,0,
14,Cleveland,320,1447,4.5,92,13,120.6,6,1,
15,Washington,313,1399,4.5,90,11,116.6,6,1,
16,Chicago,339,1385,4.1,39,11,115.4,5,2,
17,Tennessee,334,1352,4.0,39,8,112.7,4,2,
18,Jacksonville,322,1335,4.1,43,6,111.3,5,4,
19,NY Jets,308,1303,4.2,77,7,108.6,6,2,
20,Indianapolis,294,1283,4.4,53,7,106.9,4,2,
21,Green Bay,256,1268,5.0,67,9,105.7,4,1,
22,Oakland,287,1264,4.4,52,6,105.3,5,4,
23,Philadelphia,298,1239,4.2,32,9,103.3,4,1,
24,Miami,287,1232,4.3,54,4,102.7,3,3,
25,Detroit,286,1217,4.3,71,8,101.4,3,2,
26,Tampa Bay,301,1178,3.9,28,9,98.2,4,1,
27,NY Giants,250,1150,4.6,68,8,95.8,0,0,
28,Cincinnati,244,1140,4.7,43,10,95.0,1,0,
29,Pittsburgh,263,1117,4.2,30,15,93.1,3,1,
30,Minnesota,253,1033,4.1,70,6,86.1,6,4,
31,Arizona,270,1032,3.8,53,8,86.0,5,2,
32,Atlanta,249,948,3.8,36,8,79.0,3,0,
